Ato Normativo,Data de publicação,Trecho identificado
"Portaria CGSNSE nº 35, de 04 de agosto de 2014",05/08/2014, ... Dispõe sobre prorrogação de prazo no Simples Nacional para contribuintes com ... 
"Portaria RFB nº 3010, de 29 de junho de 2011",06/07/2011, ... seja pago até o 1º (primeiro) dia útil subsequente à data da arrematação. § ... 
"Instrução Normativa SRF nº 51, de 11 de maio de 1993",12/05/1993," ... iniciado, tenha sido interrompido durante sessenta dias, por ação ou omissão do importador. § ... "
"Portaria MF nº 10, de 13 de janeiro de 1993",14/01/1993," ... permanente de grãos orintador e magnetização diametral.8504.31.9901 ""Ex"" 001 - Micro transformador de ... "
"Portaria ALF/RJO nº 21, de 05 de junho de 2014",06/06/2014," ... horário de encerramento do expediente, nos dias em que houver redução do horário normal ... "
"Instrução Normativa RFB nº 1743, de 22 de setembro de 2017",26/09/2017," ... regime. § 2º A alteração do prazo de vigência do regime será concedida, ... "
"Instrução Normativa DPRF nº 1, de 10 de janeiro de 1992",14/01/1992," ... multa incidirá a partir do primeiro dia após o vencimento do débito; os juros, ... "
"Portaria RFB nº 4328, de 05 de setembro de 2005",09/09/2005," ... da ciência ao sujeito passivo, nos termos do ... "
"Portaria SRF nº 379, de 02 de abril de 2001",04/04/2001, ... da ciência. § 2o O Superintendente da Receita ... 
"Instrução Normativa RFB nº 1700, de 14 de março de 2017",16/03/2017," ... ser determinada, opcionalmente, em função do prazo da concessão ou do contrato de ... "
"Instrução Normativa RFB nº 1404, de 23 de outubro de 2013",24/10/2013," ... se o turista estrangeiro, dentro do prazo de vigência do regime, solicitar a ... "
"Resolução CGSN nº 140, de 22 de maio de 2018",24/05/2018," ... de 2021) II - oferecimento de prazos e formas de pagamento especiais, incluídos ... "
"Instrução Normativa RFB nº 1307, de 27 de dezembro de 2012",31/12/2012," ... deverá ser apresentada até o último dia útil do mês de março, em relação ... "
"Portaria SRF nº 6087, de 21 de novembro de 2005",22/11/2005, ... da ciência ao sujeito passivo. § 1º O ... 
"Resolução CGSN nº 4, de 30 de maio de 2007",01/06/2007," ... e municipal, caso exigíveis, terá o prazo de até 10 (dez) dias, contados ... "
"Instrução Normativa RFB nº 1627, de 11 de março de 2016",15/03/2016," ... prazo final para a entrega da Dercat, ... "
"Portaria Coana nº 6, de 19 de janeiro de 2016",21/01/2016, ... ESTAB - Vide) I - O prazo máximo para o Registro do Boletim ... 
"Instrução Normativa SRF nº 650, de 12 de maio de 2006",19/05/2006," ... Instrução Normativa, sem efeito suspensivo, no prazo de trinta dias, contado da ciência ... "
"Instrução Normativa SRF nº 30, de 13 de março de 1990",14/03/1990," ... (cento e vinte) dias. 19. A extinção do regime, bem como ... "
"Portaria MF nº 289, de 11 de dezembro de 2008",12/12/2008, ... suspende o prazo para a prática de atos processuais ... 
"Instrução Normativa DPRF nº 57, de 26 de agosto de 1991",28/08/1991, ... bem do estabelecimento fabricante até o dia anterior ao seu efetivo pagamento. 14.1 - ... 
"Portaria Conjunta RFB / INSS nº 3764, de 13 de dezembro de 2011",14/12/2011, ... a não retificação da GFIP no prazo determinado ensejará a não homologação da ... 
"Portaria DRF/FSA nº 24, de 19 de junho de 2019",21/06/2019, ... efeitos em relação ao expediente do dia 21 de junho de 2019. SAMUEL PEREIRA ... 
"Instrução Normativa RFB nº 560, de 19 de agosto de 2005",26/08/2005," ... - na hipótese de DRE-I, no prazo referido no caput; ou (Incluído(a) pelo(a) ... "
"Portaria MDIC nº 113, de 17 de maio de 2012",18/05/2012," ... será, excepcionalmente, de 90 (noventa) dias. § 1º Até 31 de dezembro de ... "
"Instrução Normativa RFB nº 1700, de 14 de março de 2017",16/03/2017, ... aplicação de capital amortizável durante o prazo do contrato; III - os royalties ... 
"Instrução Normativa SRF nº 79, de 24 de setembro de 1993",28/09/1993," ... diária, pelo valor desta no último dia dos meses a que se referir e ... "
"Instrução Normativa RFB nº 1415, de 04 de dezembro de 2013",05/12/2013," ... pedidos de concessão do regime, de prorrogação do prazo de sua vigência ou ... "
"Instrução Normativa RFB nº 1995, de 24 de novembro de 2020",26/11/2020," ... DIPJ, Dacon. Após o prazo previsto para a autorregularização, a análise ... "
"Portaria Conjunta RFB / PGFN nº 1525, de 17 de outubro de 2016",18/10/2016," ... dias, os créditos tributários definitivamente constituídos. Art. 10. ... "
"Instrução Normativa RFB nº 788, de 30 de novembro de 2007",04/12/2007, ... 3º A apresentação da Derc no prazo de que trata o caput faz ... 
"Portaria DRF/RJ1 nº 140, de 05 de novembro de 2018",08/11/2018," ... no Rio de Janeiro I, no dia 20 de novembro de 2018, em virtude ... "
"Portaria MF nº 30, de 25 de fevereiro de 2005",04/03/2005, ... ou de sua apresentação fora do prazo; XIII - prestar informação em processos ... 
"Instrução Normativa SRF nº 3, de 02 de janeiro de 2001",05/01/2001, ... não reapresentadas de forma correta no prazo determinado pela SRF estarão sujeitas à ... 
"Instrução Normativa SRF nº 267, de 23 de dezembro de 2002",27/12/2002, ... expedição do laudo. § 3º O prazo de fruição do benefício fiscal é ... 
"Instrução Normativa RFB nº 1585, de 31 de agosto de 2015",02/09/2015, ... ser recolhido até o 3º (terceiro) dia útil subsequente ao decêndio de ocorrência dos ... 
"Portaria ALF/SPE nº 87, de 06 de dezembro de 2017",07/12/2017," ... pelos quais houve o descumprimento do prazo e nem a aplicação, se for ... "
"Instrução Normativa RFB nº 1415, de 04 de dezembro de 2013",05/12/2013, ... data da ciência da decisão. (Incluído(a) pelo(a) Instrução Normativa ... 
"Portaria IRF/TAB nº 11, de 23 de setembro de 2015",28/09/2015," ... mudança, o novo trajeto e o prazo, a ser cumprida. Art. 10 - ... "
"Instrução Normativa SRF nº 82, de 30 de junho de 1999",06/08/1999," ... 5o do art. 25, dentro do prazo estabelecido. § 1o As informações cadastrais ... "
"Portaria ALF/SPO nº 1488, de 13 de janeiro de 2020",15/01/2020, ... 2° pelo período de 90 (noventa) dias. Art. 5º A verificação de mercadorias por ... 
"Portaria SRRF08 nº 29, de 20 de fevereiro de 2017",23/02/2017," ... do Brasil em Taubaté, até o dia 31/12/2017, a competência para realizar, em consonância ... "
"Resolução CGSN nº 1, de 19 de março de 2007",21/03/2007, ... de 2012) IX - regulamentar o prazo para o recolhimento dos tributos devidos ... 
"Portaria ALF/MNS nº 175, de 13 de agosto de 2014",15/08/2014," ... que execute, na forma e nos prazos estabelecidos pela Secretaria da Receita Federal, ... "
"Instrução Normativa RFB nº 1585, de 31 de agosto de 2015",02/09/2015, ... um dias) até 720 (setecentos e vinte) dias; IV ... 
"Instrução Normativa RFB nº 757, de 25 de julho de 2007",17/09/2007," ... do valor total das mercadorias, no prazo de três anos; e II - ... "
"Instrução Normativa RFB nº 1110, de 24 de dezembro de 2010",27/12/2010, ... deixar de apresentar a DCTF no prazo fixado ou que a apresentar com ... 
"Instrução Normativa RFB nº 1426, de 20 de dezembro de 2013",23/12/2013, ... A não apresentação da DBF no prazo estabelecido no art. 4º ou a ... 
"Portaria MF nº 227, de 03 de setembro de 1998",04/09/1998," ... e atípico, inclusive os relativos à prorrogação de prazo; XXV - aplicar pena ... "
"Instrução Normativa RFB nº 1207, de 03 de novembro de 2011",04/11/2011, ... cambial líquida comprada ajustada apurada no dia útil anterior; III - a redução da ... 
