apple;ano;n;sum;mean;median;std
Here is your apple;1980;118;52927;448,53;299,5;396,76
Here is your apple;1981;98;61340;625,92;336,0;817,47
Here is your apple;1982;88;42358;481,34;258,0;475,29
Here is your apple;1983;131;51105;390,11;239,0;372,52
Here is your apple;1984;135;65896;488,12;240,0;611,56
Here is your apple;1985;128;56881;444,38;241,0;555,29
Here is your apple;1986;147;70005;476,22;263,0;514,87
Here is your apple;1987;173;87201;504,05;262,0;914,71
Here is your apple;1988;207;95744;462,53;260,0;582,68
Here is your apple;1989;129;73723;571,50;298,0;778,55
Here is your apple;1990;239;97922;409,72;215,0;579,15
Here is your apple;1991;208;97472;468,62;212,5;749,36
Here is your apple;1992;169;108135;639,85;339,0;693,78
Here is your apple;1993;383;287266;750,04;392,0;1124,27
Here is your apple;1994;475;313063;659,08;289,0;1273,02
Here is your apple;1995;249;247558;994,21;300,0;2221,14
Here is your apple;1996;259;208254;804,07;286,0;1575,87
Here is your apple;1997;251;185462;738,89;269,0;1235,23
Here is your apple;1998;296;294625;995,35;297,5;2927,08
Here is your apple;1999;297;256791;867,54;291,5;1604,80
Here is your apple;2000;244;275811;1130,37;298,5;4672,62
Here is your apple;2001;219;300713;1373,12;444,0;2871,47
Here is your apple;2002;342;515544;1507,44;463,0;3628,02
Here is your apple;2003;181;204376;1135,42;505,0;1611,40
Here is your apple;2004;180;271614;1508,97;510,0;2491,70
Here is your apple;2005;224;531374;2372,21;539,5;11088,67
Here is your apple;2006;198;248186;1253,46;447,0;2789,33
Here is your apple;2007;316;487436;1542,52;455,0;3542,67
Here is your apple;2008;240;319230;1330,12;404,5;2981,61
Here is your apple;2009;257;531318;2067,39;460,0;10665,55
Here is your apple;2010;310;442312;1431,43;458,0;3091,76
Here is your apple;2011;362;477401;1318,79;346,0;4724,38
Here is your apple;2012;442;473251;1070,70;287,0;3873,20
Here is your apple;2013;965;848397;879,17;320,0;1541,75
Here is your apple;2014;911;804565;883,17;291,0;2310,90
Here is your apple;2015;799;653152;817,46;272,0;2583,34
Here is your apple;2016;709;473491;667,83;288,0;1474,03
Here is your apple;2017;806;928297;1151,73;281,0;4738,00
Here is your apple;2018;871;883468;1014,31;347,0;2746,31
Here is your apple;2019;682;672490;986,06;318,0;5684,76
Here is your apple;2020;988;936732;948,11;406,0;1965,12
