orgao,n
SRF,3682
RFB,2079
MF,1290
Cosit,383
DPRF,338
SRRF08,236
CGSN,205
DRF/BHE,162
Derat/SPO,144
Sutri,142
SRRF06,127
Coana,125
Cosar,110
CST,109
SRRF05,99
PGFN RFB,95
CSAR,93
PGFN,92
ALF/GRU,88
DRF/CTA,87
ME,87
SRRF07,87
SRRF09,87
SRRF02,86
SRRF04,83
SRRF03,82
CGSNSE,81
ALF/STS,76
ALF/VCP,73
DRF/FSA,73
DRF/JFA,69
SRRF01,68
ALF/ITJ,67
CGSIM,64
DRF/POA,57
DRF/SJC,56
ALF/VIT,54
DRF/FNS,53
SRRF10,52
Coger,51
DRF/JOA,51
DRF/SOR,48
ALF/FOR,46
DRF/RJ2,46
DRF/RPO,46
ALF/MNS,42
DRF/BLU,42
DRF/MRA,42
DRF/STL,42
SRP,41
CGREFIS,39
DRF/JUN,39
DRF/SAO,38
ALF/PGA,37
DRF/NHO,37
DRF/REC,37
DRF/SJR,36
DRF/CPS,35
DRF/LON,35
DRF/SBC,35
RFB PGFN,35
DRF/VAR,34
DRF/VIT,33
ALF/SPO,32
Cotec,32
DRF/JOI,32
ALF/IGI,31
DRF/MGA,31
DRF/DIV,30
DRF/GVS,30
DRF/PTG,30
ALF/GIG,28
DRF/BSB,28
DRF/LIM,28
DRF/PFO,28
DRF/JPA,27
DRF/PCA,27
DRF/PEL,27
DRF/UBL,27
PGFN SRF,27
DRF/CVL,26
DRF/CXL,26
DRF/STM,26
ALF/SFS,25
DRF/CGE,25
DRF/OSA,25
DRF/RJ1,25
RFB SCS,25
ALF/AEG,24
DRF/SAE,24
IRF/COR,24
DRF/AJU,23
DRF/ANA,23
DRF/CBA,23
DRF/FOZ,23
DRF/PCS,23
DRF/PVO,23
DRF/VRA,23
ALF/RJO,22
CGeS,22
Derpf/SPO,22
DRF/BAU,22
DRF/SDR,22
SE/ME,22
DRF/FOR,21
DRF/GOI,21
DRF/STS,21
ALF/REC,20
Delex/SPO,20
DRF/ATA,20
DRF/ITA,20
DRF/NIU,20
DRF/SAN,20
DRF/SCS,20
DRF/UBB,20
CTSI/RFB,19
DRF/PPE,19
DRF/URA,19
ALF/SPE,18
DRF/AQA,18
DRF/BEL,18
DRF/VCA,18
ALF/RGE,17
ALF/SDR,17
DRF/FCA,17
DRF/TAU,17
ALF/PCE,16
DRF/GUA,16
DRF/SLS,16
IRF/SLS,16
ALF/SLS,15
Codac,15
DRF/NIT,15
DRF/TSA,15
ALF/COR,14
Carf,14
DRJ/CGE,14
IRF/CTA,14
ALF/CTA,13
CGITR,13
DRF/CGD,13
DRF/CRU,13
DRF/CON,12
DRF/MNS,12
DRF/NAT,12
MPS MF,12
RFB Secex,12
DRF/MOS,11
IRF/FNS,11
ALF/PPA,10
Audit,10
Defis/SPO,10
DRF/BVT,10
DRF/CGZ,10
DRF/JNE,10
DRF/SOB,10
ALF/BEL,9
Copol,9
DPRF Bacen,9
DRF/LFS,9
IRF/SSO,9
SRF PGFN,9
SRF STN SFC,9
ALF/DCA,8
ALF/FOZ,8
Corat,8
DRF/JPR,8
DRF/RBO,8
IRF/PCE,8
Cogep,7
Copei,7
DRF/BRE,7
DRF/MAC,7
DRF/PAL,7
DRJ/FOR,7
DRJ/SPO,7
IRF/PPA,7
RFB TSE,7
ALF/BEL ALF/AIB,6
ALF/MNO,6
ALF/URA,6
CCA,6
CDeS,6
Copes,6
DRF/CFN,6
DRF/IMP,6
DRF/MCR,6
IRF/CHU,6
RFB Incra,6
RFB INSS,6
Cief CSAR,5
DRF/MBA,5
DRF/MCA,5
DRF/MCE,5
IRF/BHE,5
IRF/MNO,5
RFB STN,5
SEPRT,5
SRF STN,5
ALF/POA,4
Coana Cotec,4
Cofis,4
Comac,4
Cotec Coana,4
Demac/SPO,4
DRF/CCI,4
DRF/FLO,4
DRJ/JFA,4
IRF/APM,4
MF MRE,4
MPOG MF CGU,4
SEPRT RFB,4
SRF PGFN INSS,4
SRF Secex,4
SRF SRP,4
SRF TSE,4
SRRF03 PGFN,4
SRRF03 SRRF04 SRRF05,4
Suara,4
TSE SRF,4
ALF/AIB,3
ALF/FNS,3
ALF/SPE ALF/REC IRF/REC,3
Cocad,3
Cogea,3
Corec,3
CTI/RFB,3
Deinf/SPO,3
Demac/RJO,3
IRF/REC,3
IRF/RJO,3
IRF/SLV,3
MEFP,3
MF MPOG,3
RFB PGFN PGF,3
Secint RFB,3
STN,3
ALF/BHE,2
ALF/BSB,2
ALF/FOR ALF/PCE ALF/APM ALF/SLS DRF/TSA,2
ALF/PCE ALF/FOR,2
AN,2
CCA Cief,2
Cocad Cotec,2
Copat,2
Cosar Cotec,2
Cotec Corat,2
Decex/SPO,2
DRF/DOU,2
DRF/LAG,2
DRJ/RPO,2
DRJ/SDR,2
Enat,2
INSS RFB,2
IRF/CAB,2
IRF/DCA,2
IRF/PLA,2
IRF/SBA,2
IRF/SHA,2
IRF/TAB,2
MDIC,2
ME SUFRAMA,2
MF MDIC,2
PGFN INSS,2
PGFN RFB PGF,2
RFB Carf,2
RFB DMM,2
RFB RFB,2
RFB SDA,2
RFB SDA Anvisa,2
SDA SRF,2
SRF DNER,2
SRF SPCO SUSEP,2
Sucor,2
ALF/AEG ALF/MNS,1
ALF/FOR ALF/PCE,1
ALF/FOR DRF/TSA DRF/SLS,1
ALF/SLV,1
ALF/SSA,1
Anvisa RFB,1
CC MF,1
CC PGFN,1
Cief,1
Coaef,1
Coana Anvisa SDA,1
Codac Cotec,1
Cofis Coana Cotec,1
Cofis Cotec,1
Copol Coaef,1
Corat Codar Cocad,1
Corat Cotec,1
Cosit Cotec,1
Derpf/SPO Derat/SPO,1
DPRF DTN,1
DRF/SDR ALF/SDR,1
DRJ/FNS,1
Escor10,1
Incra RFB,1
IRF/ARU,1
IRF/ILH,1
IRF/JAG,1
IRF/MUA,1
IRF/PAN,1
IRF/POA,1
IRF/STN,1
IRF/VHA,1
MDIC MF,1
MEFP SDR,1
MF Bacen,1
MF MI,1
MF MICT,1
MF MinC,1
MF MJ MDIC Bacen,1
MF MPAS,1
MF MPS,1
MF MPS MTE,1
MF MTB,1
MF MTB MPOG,1
MF MTPS,1
MinC SRF,1
MPOG CGU MF MD,1
MPS MTE MF MDIC,1
MTPS MF,1
PGFN PGF,1
PGFN PGF INSS RFB,1
PGFN PGF SRF SRP,1
PGFN RFB INSS,1
RFB Anac,1
RFB Colog,1
RFB Inmetro,1
RFB INSS MD,1
RFB INSS MRE,1
RFB MTPS INSS,1
RFB PGFN PGF INSS,1
SRF Bacen,1
SRF Incra,1
SRRF01 SRRF02,1
SRRF05 DRF/AJU DRF/FSA DRF/ITA DRF/SDR DRF/VCA,1
SRRF05 PGFN,1
STN RFB INSS MPS,1
Sufis,1
TSE RFB,1
